nom_fichier,nombre_mots
LMI_20230511_5_0.0_833.833_mergedlength.json,739
LMI_20230511_6_0.0_833.833_mergedlength.json,1002
LMI_20230511_7_0.0_833.833_mergedlength.json,1253
LMI_20230511_8_0.0_833.833_mergedlength.json,458
LMI_20230511_9_0.0_71.071_mergedlength.json,40
LMI_20230512_10_0.0_833.833_mergedlength.json,1076
LMI_20230512_11_0.0_833.833_mergedlength.json,889
LMI_20230512_12_0.0_833.833_mergedlength.json,764
LMI_20230512_13_0.0_358.358_mergedlength.json,418
LMI_20230512_1_0.0_833.833_mergedlength.json,387
LMI_20230512_2_0.0_833.833_mergedlength.json,1315
LMI_20230512_3_0.0_833.833_mergedlength.json,1273
LMI_20230512_4_0.0_833.833_mergedlength.json,1225
LMI_20230512_5_0.0_833.833_mergedlength.json,707
LMI_20230512_6_0.0_833.833_mergedlength.json,961
LMI_20230512_7_0.0_833.833_mergedlength.json,1238
LMI_20230512_8_0.0_833.833_mergedlength.json,436
LMI_20230512_9_0.0_70.07_mergedlength.json,32
LMI_20230513_10_0.0_833.833_mergedlength.json,1123
LMI_20230513_11_0.0_833.833_mergedlength.json,845
LMI_20230513_12_0.0_833.833_mergedlength.json,950
LMI_20230513_13_0.0_269.269_mergedlength.json,277
LMI_20230513_1_0.0_833.833_mergedlength.json,362
LMI_20230513_2_0.0_833.833_mergedlength.json,1300
LMI_20230513_3_0.0_833.833_mergedlength.json,1277
LMI_20230513_4_0.0_833.833_mergedlength.json,1243
LMI_20230513_5_0.0_833.833_mergedlength.json,785
LMI_20230513_6_0.0_833.833_mergedlength.json,1042
LMI_20230513_7_0.0_833.833_mergedlength.json,1200
LMI_20230513_8_0.0_833.833_mergedlength.json,367
LMI_20230513_9_0.0_71.071_mergedlength.json,62
